吖,口
阿,阝
锕,钅
錒,钅
嗄,口
啊,口
哎,口
哀,口
埃,土
挨,扌
唉,口
欸,欠
锿,钅
鎄,钅
捱,扌
皑,白
皚,白
癌,疒
嗳,口
矮,矢
蔼,艹
藹,艹
霭,雨
靄,雨
艾,艹
砹,石
爱,爫
隘,阝
碍,石
嗌,口
愛,爫
嫒,女
瑷,王
叆,厶
暧,日
僾,亻
薆,艹
噯,口
嬡,女
璦,王
曖,日
礙,石
安,宀
桉,木
氨,气
庵,广
谙,讠
啽,口
媕,女
鹌,鸟
腤,月
鞍,革
諳,讠
闇,門
鮟,魚
盫,皿
鵪,鸟
垵,土
俺,亻
埯,土
唵,口
铵,钅
揞,扌
晻,日
銨,钅
犴,犭
岸,山
按,扌
胺,月
案,木
暗,日
黯,黑
肮,月
骯,月
卬,卩
枊,木
昂,日
盎,皿
醠,酉
凹,凵
爊,火
敖,攵
嶅,山
遨,辶
蔜,艹
嗷,口
廒,广
璈,王
獒,犬
熬,灬
聱,耳
螯,虫
翱,羽
謷,言
鳌,鱼
鏖,金
鰲,鱼
芺,艹
袄,衤
媪,女
襖,衤
岙,山
垇,土
坳,土
拗,扌
奡,大
傲,亻
奥,大
骜,马
薁,艹
嶴,山
澳,氵
懊,忄
鏊,金
驁,马
八,八
巴,巳
扒,扌
叭,口
朳,木
芭,艹
夿,大
岜,山
疤,疒
捌,扌
笆,竹
粑,米
豝,豕
鲃,鱼
拔,扌
茇,艹
胈,月
菝,艹
跋,足
魃,鬼
鼥,鼠
把,扌
钯,钅
靶,革
坝,土
弝,弓
爸,父
耙,耒
罢,罒
鲅,鱼
罷,罒
鮁,鱼
霸,雨
壩,土
灞,氵
吧,口
掰,手
白,白
百,白
佰,亻
柏,木
栢,木
捭,扌
摆,扌
擺,扌
败,贝
拜,手
敗,贝
稗,禾
粺,禾
扳,扌
攽,攵
班,王
般,舟
颁,页
斑,文
搬,扌
頒,页
斒,文
瘢,疒
癍,疒
阪,阝
坂,土
板,木
版,片
钣,钅
舨,舟
鈑,钅
蝂,虫
魬,魚
办,力
半,十
扮,扌
伴,亻
坢,土
拌,扌
姅,女
绊,纟
柈,木
湴,氵
絆,纟
辦,力
瓣,瓜
邦,阝
帮,巾
梆,木
浜,氵
幫,巾
绑,纟
綁,纟
榜,木
膀,月
蚌,虫
棒,木
棓,木
傍,亻
谤,讠
塝,土
搒,扌
蒡,艹
稖,禾
蜯,虫
磅,石
镑,钅
謗,讠
鎊,钅
勹,勹
包,勹
苞,艹
孢,子
枹,木
胞,月
龅,齿
煲,火
褒,衣
齙,齿
雹,雨
薄,艹
饱,饣
宝,宀
保,亻
鸨,鸟
葆,艹
堡,土
飽,饣
褓,衤
鴇,鸟
緥,衤
寳,宀
寶,宀
报,扌
抱,扌
趵,足
豹,豸
菢,艹
報,扌
鉋,刂
鲍,鱼
暴,日
虣,虍
鮑,鱼
爆,火
鑤,刂
陂,阝
杯,木
卑,十
盃,木
桮,木
椑,木
悲,忄
碑,石
鹎,鸟
鵯,鸟
北,匕
贝,贝
孛,子
邶,阝
貝,贝
狈,犭
备,夂
背,月
钡,钅
倍,亻
狽,犭
悖,忄
被,衤
偝,亻
琲,王
辈,车
備,夂
惫,心
焙,火
蓓,艹
碚,石
骳,骨
褙,衤
輩,车
鋇,钅
憊,心
糒,米
鞴,革
鐾,金
呗,口
唄,口
奔,大
贲,贝
栟,木
賁,贝
锛,钅
錛,钅
本,木
苯,艹
畚,田
坌,土
倴,亻
笨,竹
伻,亻
祊,礻
崩,山
绷,纟
絣,糹
傰,亻
嘣,口
綳,纟
繃,纟
甭,用
菶,艹
琫,王
泵,水
迸,辶
甏,瓦
镚,钅
蹦,足
鏰,钅
皀,白
屄,尸
偪,辶
逼,辶
鲾,鱼
鎞,釒
鰏,鱼
柲,木
荸,艹
鼻,鼻
匕,匕
比,比
芘,艹
吡,口
佊,亻
疕,疒
沘,氵
妣,女
彼,彳
柀,木
秕,禾
笔,竹
俾,亻
舭,舟
粃,禾
筆,竹
鄙,阝
魮,魚
币,巾
必,心
毕,比
闭,门
庇,广
邲,阝
诐,讠
苾,艹
畀,田
珌,王
荜,艹
毖,比
哔,口
陛,阝
毙,比
畢,比
铋,钅
狴,犭
萆,艹
梐,木
閉,门
庳,广
敝,攵
婢,女
堛,土
皕,白
赑,贝
筚,竹
詖,讠
愊,忄
愎,忄
弼,弓
蓽,艹
蓖,艹
閟,門
跸,足
嗶,口
鉍,钅
腷,月
痹,疒
煏,火
滗,氵
裨,衤
碧,石
蔽,艹
馝,香
箅,竹
弊,廾
幣,巾
髲,髟
駜,馬
薜,艹
觱,角
篳,竹
篦,竹
鮅,魚
壁,土
避,辶
嬖,女
鞞,革
蹕,足
髀,骨
斃,比
濞,氵
臂,月
奰,大
饆,飠
璧,玉
襣,衤
襞,衣
躄,足
鷩,鳥
鸊,鳥
边,辶
砭,石
笾,竹
萹,艹
编,纟
煸,火
蝙,虫
箯,竹
編,纟
鳊,鱼
鞭,革
邊,辶
鯿,鱼
籩,竹
贬,贝
窆,穴
扁,户
匾,匚
貶,贝
惼,忄
碥,石
稨,禾
褊,衤
藊,艹
卞,卜
弁,廾
抃,扌
苄,艹
汳,氵
汴,氵
忭,忄
变,又
昪,日
便,亻
覍,廾
揙,扌
徧,彳
遍,辶
缏,纟
艑,舟
緶,纟
辨,辛
辩,辛
辫,辛
辮,辛
辯,辛
變,又
杓,木
标,木
飑,风
骉,马
髟,髟
彪,彡
猋,犬
摽,扌
幖,巾
颮,风
滮,氵
骠,马
標,木
膘,月
麃,鹿
熛,火
飙,风
镖,钅
飚,风
瘭,疒
藨,艹
瀌,氵
鏢,钅
臕,月
镳,钅
穮,禾
驃,马
飆,风
飈,风
鑣,钅
驫,马
表,衣
婊,女
裱,衤
褾,衤
檦,木
俵,亻
鳔,鱼
鰾,鱼
憋,心
鳖,鱼
鱉,鱼
虌,艹
别,刂
蹩,足
瘪,疒
癟,疒
邠,阝
玢,王
宾,宀
彬,彡
傧,亻
斌,文
滨,氵
缤,纟
槟,木
賓,宀
镔,钅
儐,亻
濒,氵
豳,豕
濱,氵
檳,木
瀕,氵
繽,纟
鑌,钅
摈,扌
殡,歹
膑,月
擯,扌
殯,歹
臏,月
髌,骨
鬓,髟
髕,骨
鬢,髟
冰,冫
兵,八
丙,一
邴,阝
秉,禾
柄,木
饼,饣
炳,火
蛃,虫
禀,示
餅,饣
疒,疒
并,干
幷,干
併,干
並,干
病,疒
竝,干
摒,扌
拨,扌
波,氵
玻,王
砵,石
哱,口
钵,钅
饽,饣
剥,刂
菠,艹
鉢,钅
播,扌
撥,扌
嶓,山
餑,饣
伯,亻
驳,马
帛,巾
瓝,瓜
勃,力
钹,钅
铂,钅
瓟,瓜
亳,亠
浡,氵
袯,衤
舶,舟
脖,月
博,十
葧,艹
鹁,鸟
渤,氵
搏,扌
鈸,钅
鲌,鱼
馎,饣
駁,马
僰,人
箔,竹
膊,月
踣,足
镈,钅
馞,香
壆,子
鮊,鱼
襏,衤
鵓,鸟
餺,饣
襮,衤
礴,石
鑮,钅
跛,足
簸,竹
檗,木
擘,手
卜,卜
啵,口
蔔,卜
逋,辶
峬,山
钸,钅
庯,广
晡,日
鈽,钅
醭,酉
卟,卜
补,衤
捕,扌
哺,口
補,衤
鵏,鳥
不,一
布,巾
步,止
吥,口
怖,忄
钚,钅
埗,土
部,阝
埠,土
鈈,钅
瓿,瓦
蔀,艹
餔,飠
篰,竹
簿,竹
擦,扌
嚓,口
礤,石
偲,亻
猜,犭
才,扌
材,木
财,贝
財,贝
裁,衣
采,采
倸,目
採,采
彩,彡
睬,目
跴,足
綵,糹
踩,足
菜,艹
蔡,艹
縩,糹
参,厶
參,厶
骖,马
湌,飠
飱,飠
餐,飠
驂,马
残,歹
蚕,虫
惭,忄
殘,歹
慚,忄
蠶,虫
惨,忄
慘,忄
憯,忄
黪,黑
黲,黑
灿,火
粲,米
璨,王
燦,火
仓,人
伧,亻
苍,艹
沧,氵
鸧,鸟
舱,舟
倉,人
蒼,艹
滄,氵
艙,舟
鶬,鸟
藏,艹
鑶,釒
撡,扌
操,扌
糙,米
曹,曰
嘈,口
漕,氵
槽,木
螬,虫
艚,舟
艹,艹
艸,艹
草,艹
册,丿
厕,厂
侧,亻
测,氵
恻,忄
敇,攵
厠,厂
側,亻
策,竹
廁,厂
測,氵
惻,忄
筞,竹
箣,竹
岑,山
涔,氵
梣,木
噌,口
层,尸
曾,曰
嶒,山
層,尸
蹭,足
叉,又
扱,扌
杈,木
臿,臼
挿,扌
插,扌
嗏,口
馇,饣
锸,钅
艖,舟
鍤,钅
餷,饣
垞,土
茬,艹
茶,艹
查,木
搽,扌
嵖,山
猹,犭
槎,木
詧,宀
碴,石
察,宀
檫,木
衩,衤
蹅,足
镲,钅
汊,氵
岔,山
侘,亻
诧,讠
差,工
姹,女
詫,讠
拆,扌
钗,钅
釵,钅
侪,亻
柴,木
豺,豸
儕,亻
茝,艹
虿,虫
瘥,疒
蠆,虫
觇,见
掺,扌
搀,扌
覘,见
摻,扌
幨,巾
襜,衤
攙,扌
谗,讠
婵,女
馋,饣
禅,礻
孱,子
缠,纟
蝉,虫
僝,亻
鋋,釒
廛,广
潺,氵
嬋,女
澶,氵
禪,礻
镡,钅
蟬,虫
瀍,氵
蟾,虫
巉,山
纏,纟
躔,足
镵,钅
讒,讠
鑱,钅
饞,饣
产,亠
刬,刂
浐,氵
谄,讠
